Key,Planet,Ticker,Type,Factor
AJ-120b-GAL,AJ-120b,GAL,MINERAL,0.3415444791316986
AJ-120c-BRM,AJ-120c,BRM,MINERAL,0.5499358773231506
AJ-120c-SIO,AJ-120c,SIO,MINERAL,0.33284005522727966
AJ-120d-H2O,AJ-120d,H2O,MINERAL,0.02316943183541298
AJ-120d-TAI,AJ-120d,TAI,MINERAL,0.04217340424656868
AJ-120e-GAL,AJ-120e,GAL,MINERAL,0.04554302990436554
AJ-120g-HE,AJ-120g,HE,GASEOUS,0.012496107257902622
AJ-135a-FEO,AJ-135a,FEO,MINERAL,0.011724736541509628
AJ-135a-MAG,AJ-135a,MAG,MINERAL,0.018913960084319115
AJ-135b-CLI,AJ-135b,CLI,MINERAL,0.03568600118160248
AJ-135b-GAL,AJ-135b,GAL,MINERAL,0.03551456704735756
AJ-135b-HE,AJ-135b,HE,GASEOUS,0.11687964200973511
AJ-135c-BRM,AJ-135c,BRM,MINERAL,0.0329858623445034
AJ-135c-CLI,AJ-135c,CLI,MINERAL,0.04614676162600517
AJ-135c-LIO,AJ-135c,LIO,MINERAL,0.2872622609138489
AJ-135d-BRM,AJ-135d,BRM,MINERAL,0.014944558963179588
AJ-135d-HAL,AJ-135d,HAL,MINERAL,0.12292506545782089
AJ-135d-MAG,AJ-135d,MAG,MINERAL,0.015633516013622284
AJ-135e-NE,AJ-135e,NE,GASEOUS,0.24856427311897278
AJ-135f-HE,AJ-135f,HE,GASEOUS,0.031218206509947777
AJ-135g-LES,AJ-135g,LES,GASEOUS,0.015357659198343754
AJ-293a-AMM,AJ-293a,AMM,GASEOUS,0.07752464711666107
AJ-293a-CLI,AJ-293a,CLI,MINERAL,0.038014400750398636
AJ-293b-FEO,AJ-293b,FEO,MINERAL,0.7174611687660217
AJ-293b-HE,AJ-293b,HE,GASEOUS,0.025215566158294678
AJ-293c-HE,AJ-293c,HE,GASEOUS,0.19764262437820435
AJ-293c-TAI,AJ-293c,TAI,MINERAL,0.04545164853334427
AJ-293d-BRM,AJ-293d,BRM,MINERAL,0.25269049406051636
AJ-293d-GAL,AJ-293d,GAL,MINERAL,0.043461840599775314
AJ-293d-LST,AJ-293d,LST,MINERAL,0.02045438438653946
AJ-293e-LES,AJ-293e,LES,GASEOUS,0.049124740064144135
AJ-293g-H,AJ-293g,H,GASEOUS,0.5581879615783691
AJ-293g-HE3,AJ-293g,HE3,GASEOUS,0.08124639093875885
AJ-300a-HE,AJ-300a,HE,GASEOUS,0.03265198692679405
AJ-300a-TAI,AJ-300a,TAI,MINERAL,0.22290752828121185
AJ-300b-ALO,AJ-300b,ALO,MINERAL,0.23691420257091522
AJ-300c-LST,AJ-300c,LST,MINERAL,0.03783885017037392
AJ-300c-ZIR,AJ-300c,ZIR,MINERAL,0.18531973659992218
AJ-300d-AMM,AJ-300d,AMM,MINERAL,0.04314098879694939
AJ-300d-GAL,AJ-300d,GAL,MINERAL,0.3299639821052551
