Left,Right
AJ-120,AJ-135
AJ-120,AJ-505
AJ-135,AJ-120
AJ-135,AJ-300
AJ-293,AJ-575
AJ-293,AJ-768
AJ-293,AJ-946
AJ-293,JS-009
AJ-293,JS-309
AJ-300,AJ-135
AJ-300,AJ-505
AJ-300,EY-430
AJ-505,AJ-120
AJ-505,AJ-300
AJ-505,AJ-575
AJ-505,AJ-768
AJ-575,AJ-293
AJ-575,AJ-505
AJ-575,AJ-768
AJ-575,AJ-946
AJ-768,AJ-293
AJ-768,AJ-505
AJ-768,AJ-575
AJ-946,AJ-293
AJ-946,AJ-575
AJ-946,BS-658
AJ-946,FK-317
AM-001,AM-528
AM-001,AM-644
AM-001,AM-884
AM-001,AM-978
AM-371,AM-462
AM-371,AN-240
AM-371,RY-780
AM-429,AM-695
AM-429,AM-978
AM-462,AM-371
AM-462,AM-628
AM-528,AM-001
AM-628,AM-462
AM-628,AN-240
AM-644,AM-001
AM-644,AM-695
AM-644,AM-884
AM-644,AM-978
AM-644,YW-338
AM-695,AM-429
AM-695,AM-644
AM-783,AM-884
AM-783,OF-185
AM-884,AM-001
AM-884,AM-644
AM-884,AM-783
AM-884,HM-517
AM-884,UQ-965
AM-978,AM-001
AM-978,AM-429
AM-978,AM-644
AN-240,AM-371
AN-240,AM-628
AS-479,OS-057
AU-130,AU-290
AU-130,AU-709
AU-290,AU-130
AU-290,AU-686
AU-290,AU-709
AU-322,AU-522
AU-322,AU-605
AU-322,AU-686
AU-522,AU-322
AU-605,AU-322
AU-605,GK-115
AU-605,GM-037
AU-686,AU-290
AU-686,AU-322
AU-686,AU-876
AU-686,EW-369
AU-709,AU-130
AU-709,AU-290
AU-709,GM-498
AU-876,AU-686
AU-876,EW-652
AW-006,AW-844
AW-006,NL-881
AW-066,AW-726
AW-066,AW-844
AW-284,AW-844
AW-284,GY-528
AW-726,AW-066
AW-726,AW-844
AW-726,EY-358
AW-844,AW-006
AW-844,AW-066
AW-844,AW-284
AW-844,AW-726
AX-013,AX-128
AX-013,AX-215
AX-013,AX-558
AX-128,AX-013
AX-128,AX-215
AX-128,AX-383
AX-128,AX-908
AX-128,UX-617
AX-215,AX-013
AX-215,AX-128
AX-383,AX-128
AX-383,AX-558
AX-558,AX-013
AX-558,AX-383
AX-558,AX-908
AX-558,XU-112
AX-872,AX-908
AX-872,DX-325
AX-908,AX-128
AX-908,AX-558
AX-908,AX-872
BI-373,BI-417
BI-373,BI-805
BI-373,GK-219
BI-373,NJ-257
BI-417,BI-373
BI-417,BI-500
BI-417,BS-257
BI-500,BI-417
BI-500,BS-290
BI-805,BI-373
BS-257,BI-417
BS-257,BS-987
BS-290,BI-500
BS-290,BS-409
BS-290,BS-865
BS-290,BS-987
BS-409,BS-290
BS-409,BS-865
BS-409,BS-987
BS-531,FK-317
BS-531,SB-838
BS-658,AJ-946
BS-658,BS-788
BS-788,BS-658
BS-788,SB-838
BS-865,BS-290
BS-865,BS-409
BS-987,BS-257
BS-987,BS-290
BS-987,BS-409
CB-045,CB-276
CB-045,JS-570
CB-276,CB-045
CB-276,CB-528
CB-276,SO-014
CB-282,CB-528
CB-282,UV-062
CB-528,CB-276
CB-528,CB-282
CB-528,CH-657
CC-541,CC-558
CC-541,CC-674
CC-541,CC-848
CC-541,HV-322
CC-558,CC-541
CC-558,CC-848
CC-558,NH-555
CC-674,CC-541
CC-674,XU-397
CC-848,CC-541
CC-848,CC-558
CG-021,CG-281
CG-021,CG-339
CG-021,SE-751
CG-044,CG-339
CG-044,CG-856
CG-281,CG-021
CG-281,CG-339
CG-281,CG-856
CG-281,EW-238
CG-339,CG-021
CG-339,CG-044
CG-339,CG-281
CG-339,LG-430
CG-856,CG-044
CG-856,CG-281
CG-856,LG-672
CH-115,CH-131
CH-115,RY-872
CH-131,CH-115
CH-131,CH-364
CH-131,CH-913
CH-364,CH-131
CH-364,CH-913
CH-364,FW-344
CH-657,CB-528
CH-657,CH-771
CH-657,CH-913
CH-771,CH-657
CH-771,SO-953
CH-913,CH-131
CH-913,CH-364
CH-913,CH-657
DC-094,DC-970
DC-094,EL-179
DC-724,DC-970
DC-823,DC-970
DC-970,DC-094
DC-970,DC-724
DC-970,DC-823
DW-161,DW-739
DW-161,RC-796
DW-161,XH-556
DW-161,XH-594
DW-419,DW-456
DW-419,DW-739
DW-456,DW-419
DW-456,DW-835
DW-456,RC-040
DW-739,DW-161
DW-739,DW-419
DW-739,DW-835
DW-739,OT-580
DW-835,DW-456
DW-835,DW-739
DW-835,LB-476
DX-325,AX-872
DX-325,DX-853
DX-325,UX-617
DX-561,DX-853
DX-561,DX-916
DX-853,DX-325
DX-853,DX-561
DX-853,DX-916
DX-916,DX-561
DX-916,DX-853
EL-179,DC-094
EL-179,EL-419
EL-179,EL-952
EL-419,EL-179
EL-768,EL-952
EL-952,EL-179
EL-952,EL-768
EL-952,SL-006
EM-009,EM-988
EM-355,EM-398
EM-355,EM-789
EM-355,EM-929
EM-355,VI-270
EM-355,VV-980
EM-398,EM-355
EM-759,EM-789
EM-759,EM-929
EM-759,YP-225
EM-789,EM-355
EM-789,EM-759
EM-929,EM-355
EM-929,EM-759
EM-929,EM-988
EM-929,XD-354
EM-988,EM-009
EM-988,EM-929
EW-238,CG-281
EW-238,EW-274
EW-238,EW-604
EW-238,EW-943
EW-274,EW-238
EW-274,EW-445
EW-274,EW-604
EW-274,EW-652
EW-274,EW-985
EW-369,AU-686
EW-369,EW-943
EW-445,EW-274
EW-445,EW-985
EW-604,EW-238
EW-604,EW-274
EW-604,WU-974
EW-652,AU-876
EW-652,EW-274
EW-652,EW-985
EW-943,EW-238
EW-943,EW-369
EW-985,EW-274
EW-985,EW-445
EW-985,EW-652
EX-071,EX-183
EX-071,EX-389
EX-183,EX-071
EX-183,EX-389
EX-183,VI-001
EX-292,EX-740
EX-292,IC-012
EX-326,EX-740
EX-326,EX-925
EX-389,EX-071
EX-389,EX-183
EX-389,EX-740
EX-389,EX-925
EX-740,EX-292
EX-740,EX-326
EX-740,EX-389
EX-740,EX-925
EX-925,EX-326
EX-925,EX-389
EX-925,EX-740
EY-303,EY-351
EY-303,EY-358
EY-303,EY-430
EY-351,EY-303
EY-351,EY-493
EY-351,EY-847
EY-358,AW-726
EY-358,EY-303
EY-358,EY-363
EY-363,EY-358
EY-363,EY-493
EY-430,AJ-300
EY-430,EY-303
EY-493,EY-351
EY-493,EY-363
EY-493,HV-813
EY-577,EY-847
EY-847,EY-351
EY-847,EY-577
EZ-176,EZ-190
EZ-176,EZ-476
EZ-176,EZ-969
EZ-176,FA-320
EZ-190,EZ-176
EZ-190,EZ-566
EZ-476,EZ-176
EZ-476,EZ-566
EZ-476,IC-685
EZ-566,EZ-190
EZ-566,EZ-476
EZ-969,EZ-176
EZ-969,FA-056
FA-035,FA-042
FA-035,IZ-654
FA-042,FA-035
FA-042,FA-056
FA-056,EZ-969
FA-056,FA-042
FA-056,FA-320
FA-056,FA-382
FA-320,EZ-176
FA-320,FA-056
FA-382,FA-056
FA-382,LS-123
FK-037,FK-317
FK-037,FK-794
FK-037,LG-854
FK-317,AJ-946
FK-317,BS-531
FK-317,FK-037
FK-317,LG-430
FK-371,FK-794
FK-371,JS-829
FK-794,FK-037
FK-794,FK-371
FW-039,FW-129
FW-129,FW-039
FW-129,FW-344
FW-344,CH-364
FW-344,FW-129
FW-344,FW-691
FW-344,FW-918
FW-691,FW-344
FW-691,OY-799
FW-918,FW-344
FW-918,YI-705
GC-025,GC-231
GC-025,YA-997
GC-032,GC-474
GC-032,GC-645
GC-032,IZ-054
GC-231,GC-025
GC-231,GC-602
GC-231,GC-728
GC-474,GC-032
GC-474,GC-728
GC-602,GC-231
GC-645,GC-032
GC-645,GC-728
GC-728,GC-231
GC-728,GC-474
GC-728,GC-645
GC-728,XV-825
GK-115,AU-605
GK-115,GK-462
GK-219,BI-373
GK-219,GK-476
GK-258,GK-462
GK-439,GK-462
GK-439,GK-996
GK-462,GK-115
GK-462,GK-258
GK-462,GK-439
GK-462,GK-476
GK-462,GK-619
GK-476,GK-219
GK-476,GK-462
GK-619,GK-462
GK-619,GM-844
GK-996,GK-439
GK-996,NJ-438
GM-037,AU-605
GM-037,GM-332
GM-037,GM-498
GM-212,GM-332
GM-212,GM-844
GM-332,GM-037
